,Mobility Profile
2016-01-01 07:51:00+00:00,413648.49368475645
2016-01-01 07:52:00+00:00,416736.81129226007
2016-01-01 07:53:00+00:00,467753.182964581
2016-01-01 07:54:00+00:00,445636.0092395584
2016-01-01 07:55:00+00:00,464381.5760640606
2016-01-01 07:56:00+00:00,484485.40968896815
2016-01-01 07:57:00+00:00,469458.92697715847
2016-01-01 07:58:00+00:00,479567.41169426707
2016-01-01 07:59:00+00:00,499671.7492818779
2016-01-01 08:00:00+00:00,514223.28691062814
2016-01-01 08:01:00+00:00,489630.55323744
2016-01-01 08:02:00+00:00,500904.68007041333
2016-01-01 08:03:00+00:00,503040.8635815834
2016-01-01 08:04:00+00:00,488988.9746201618
2016-01-01 08:05:00+00:00,503010.84549521166
2016-01-01 08:06:00+00:00,529594.3322393958
2016-01-01 08:07:00+00:00,502369.61756777286
2016-01-01 08:08:00+00:00,498360.6181017716
2016-01-01 08:09:00+00:00,515874.35580601764
2016-01-01 08:10:00+00:00,518824.38939279655
2016-01-01 08:11:00+00:00,541339.1716969339
2016-01-01 08:12:00+00:00,531124.4281413072
2016-01-01 08:13:00+00:00,533691.532067169
2016-01-01 08:14:00+00:00,540118.1792723656
2016-01-01 08:15:00+00:00,540451.2680277076
2016-01-01 08:16:00+00:00,583244.6671012436
2016-01-01 08:17:00+00:00,591911.0336339396
2016-01-01 08:18:00+00:00,593159.2592064807
2016-01-01 08:19:00+00:00,580854.7703460839
2016-01-01 08:20:00+00:00,577303.6030623969
2016-01-01 08:21:00+00:00,595699.8867442855
2016-01-01 08:22:00+00:00,586324.7356665056
2016-01-01 08:23:00+00:00,559095.3263145639
2016-01-01 08:24:00+00:00,553054.0728954594
2016-01-01 08:25:00+00:00,560713.5845600127
2016-01-01 08:26:00+00:00,568979.4755209633
2016-01-01 08:27:00+00:00,554962.6713366879
2016-01-01 08:28:00+00:00,540680.2570665006
2016-01-01 08:29:00+00:00,554924.4509890348
2016-01-01 08:30:00+00:00,571694.7998451915
2016-01-01 08:31:00+00:00,610863.7447873144
2016-01-01 08:32:00+00:00,602641.6035821899
2016-01-01 08:33:00+00:00,613501.5623740201
2016-01-01 08:34:00+00:00,630957.7895002528
2016-01-01 08:35:00+00:00,628770.1325927156
2016-01-01 08:36:00+00:00,605867.2626939213
2016-01-01 08:37:00+00:00,613726.3306228527
2016-01-01 08:38:00+00:00,592191.0562025622
2016-01-01 08:39:00+00:00,607624.630741392
2016-01-01 08:40:00+00:00,603039.9858256107
2016-01-01 08:41:00+00:00,604615.2831353568
2016-01-01 08:42:00+00:00,584801.4163117933
2016-01-01 08:43:00+00:00,589005.1090067363
2016-01-01 08:44:00+00:00,552768.2980896622
2016-01-01 08:45:00+00:00,552824.1413158996
2016-01-01 08:46:00+00:00,550883.6182736927
2016-01-01 08:47:00+00:00,533749.6744571469
2016-01-01 08:48:00+00:00,525654.0572613215
2016-01-01 08:49:00+00:00,510981.4574680849
2016-01-01 08:50:00+00:00,507120.25401944923
2016-01-01 08:51:00+00:00,537588.8289743714
2016-01-01 08:52:00+00:00,536567.2951374019
2016-01-01 08:53:00+00:00,586391.0014413578
2016-01-01 08:54:00+00:00,587023.2945037482
2016-01-01 08:55:00+00:00,622360.9885781133
2016-01-01 08:56:00+00:00,624202.806595717
2016-01-01 08:57:00+00:00,643222.3901724345
2016-01-01 08:58:00+00:00,645814.1740362843
2016-01-01 08:59:00+00:00,628453.8729486226
2016-01-01 09:00:00+00:00,672948.0097067271
2016-01-01 09:01:00+00:00,662516.6114275495
2016-01-01 09:02:00+00:00,678564.863941558
2016-01-01 09:03:00+00:00,691571.2182009561
2016-01-01 09:04:00+00:00,692314.6268741186
2016-01-01 09:05:00+00:00,690021.0458363874
2016-01-01 09:06:00+00:00,738751.0517336273
2016-01-01 09:07:00+00:00,759928.6894637933
2016-01-01 09:08:00+00:00,746164.7103966314
2016-01-01 09:09:00+00:00,731947.7365729078
2016-01-01 09:10:00+00:00,709585.5834855929
2016-01-01 09:11:00+00:00,716752.075449805
2016-01-01 09:12:00+00:00,721035.0171191229
2016-01-01 09:13:00+00:00,719590.5713049263
2016-01-01 09:14:00+00:00,734425.555743657
2016-01-01 09:15:00+00:00,798137.4111300063
2016-01-01 09:16:00+00:00,814704.5280210406
2016-01-01 09:17:00+00:00,816720.786736168
